               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070986,            0.025681,            0.019941,             0.48897,             0.64141,             0.60454,             0.32422,            0.036901,           0.0073911,            0.006422,            0.070167,           0.0033148,           0.0033148
                   1,            0.048956,            0.018054,            0.010057,              0.4089,             0.61582,             0.49477,             0.24957,            0.037283,           0.0064223,           0.0042589,            0.040134,           0.0066152,           0.0066152
                   2,            0.045587,             0.01642,           0.0087317,             0.58848,             0.57683,             0.57606,             0.34119,            0.031149,           0.0067842,           0.0072001,            0.010068,           0.0098827,           0.0098827
                   3,            0.041223,            0.016365,           0.0081998,             0.70533,             0.70678,             0.72906,             0.42845,            0.027506,           0.0066949,           0.0039456,           0.0098515,           0.0098515,           0.0098515
                   4,            0.038619,            0.016432,           0.0079422,             0.78668,             0.70425,             0.76428,             0.45191,            0.027639,           0.0065914,           0.0033904,           0.0098515,           0.0098515,           0.0098515
                   5,             0.03693,            0.015744,           0.0069031,             0.74874,             0.70723,              0.7632,             0.47921,            0.025396,           0.0067487,           0.0035392,            0.009802,            0.009802,            0.009802
                   6,            0.035096,            0.015644,           0.0067737,             0.76052,             0.74483,             0.78635,             0.49703,            0.025219,           0.0064118,           0.0027845,           0.0097525,           0.0097525,           0.0097525
                   7,            0.033616,            0.015328,           0.0061836,              0.8643,             0.73632,             0.83735,             0.53714,            0.025017,           0.0060953,           0.0031304,            0.009703,            0.009703,            0.009703
                   8,            0.033352,            0.015065,            0.005886,             0.78594,             0.78042,             0.82332,             0.52746,             0.02459,           0.0061821,           0.0025734,           0.0096535,           0.0096535,           0.0096535
                   9,            0.032568,            0.014642,           0.0057025,             0.80189,             0.76986,             0.83291,             0.55652,            0.022608,           0.0059107,           0.0027479,            0.009604,            0.009604,            0.009604
                  10,             0.03206,             0.01472,           0.0054353,             0.72387,             0.82509,             0.81255,             0.55658,            0.022505,           0.0059223,            0.002543,           0.0095545,           0.0095545,           0.0095545
                  11,            0.031152,            0.014458,           0.0055173,             0.79536,              0.7714,             0.83792,             0.56504,            0.021347,           0.0056969,           0.0027955,            0.009505,            0.009505,            0.009505
                  12,            0.030292,            0.013938,           0.0049475,              0.8499,             0.77065,              0.8721,             0.60794,            0.020556,           0.0054646,           0.0031172,           0.0094555,           0.0094555,           0.0094555
                  13,            0.029554,            0.013957,           0.0049158,             0.78462,             0.80459,             0.83735,             0.57786,            0.020744,           0.0058565,           0.0022723,            0.009406,            0.009406,            0.009406
                  14,            0.029496,            0.013847,           0.0048464,             0.78845,             0.80508,             0.83434,             0.58959,            0.020156,           0.0056824,           0.0025101,           0.0093565,           0.0093565,           0.0093565
                  15,            0.029426,            0.013625,           0.0053405,             0.77734,             0.79078,             0.80033,             0.56501,            0.020584,           0.0058838,           0.0025704,            0.009307,            0.009307,            0.009307
                  16,            0.028676,            0.013666,            0.004282,             0.82776,             0.77775,             0.85141,             0.59103,            0.020611,           0.0055864,           0.0038494,           0.0092575,           0.0092575,           0.0092575
                  17,            0.028131,            0.013512,            0.004899,             0.86208,             0.76479,             0.86795,             0.61728,             0.01983,           0.0054787,           0.0025031,            0.009208,            0.009208,            0.009208
                  18,            0.028013,            0.013487,           0.0039618,             0.79753,             0.83599,             0.85582,             0.61175,            0.019912,           0.0053559,           0.0025681,           0.0091585,           0.0091585,           0.0091585
                  19,            0.027721,            0.013365,           0.0044377,             0.78167,             0.82479,             0.84726,             0.62185,            0.019821,           0.0055394,           0.0023202,            0.009109,            0.009109,            0.009109
                  20,             0.02736,            0.013071,           0.0037719,             0.84028,             0.78987,             0.87748,              0.6307,             0.01927,           0.0053269,           0.0023373,           0.0090595,           0.0090595,           0.0090595
                  21,            0.027099,            0.012672,           0.0036034,             0.75589,             0.84099,             0.82292,             0.61235,            0.018294,           0.0055373,           0.0024339,             0.00901,             0.00901,             0.00901
                  22,            0.026467,            0.012892,           0.0041071,             0.83432,             0.80238,             0.87017,             0.64455,            0.018825,           0.0051984,           0.0025961,           0.0089605,           0.0089605,           0.0089605
                  23,            0.026147,            0.012654,           0.0038982,             0.78408,             0.79578,             0.85479,             0.61587,            0.019777,           0.0055957,            0.003244,            0.008911,            0.008911,            0.008911
                  24,            0.026781,            0.012855,           0.0040651,             0.90263,             0.77906,             0.88827,              0.6443,            0.019006,           0.0052561,           0.0031635,           0.0088615,           0.0088615,           0.0088615
                  25,            0.026236,            0.012465,            0.003902,             0.78152,             0.83245,             0.86894,             0.65027,            0.017974,            0.005338,           0.0020804,            0.008812,            0.008812,            0.008812
                  26,             0.02562,            0.012167,           0.0033635,              0.8158,             0.80846,             0.87031,             0.63863,            0.018129,           0.0052558,            0.002482,           0.0087625,           0.0087625,           0.0087625
                  27,            0.025494,            0.012373,           0.0042328,             0.83182,             0.79125,              0.8656,             0.64274,            0.018838,           0.0052843,           0.0025715,            0.008713,            0.008713,            0.008713
                  28,            0.025467,            0.012529,            0.003341,             0.79933,              0.8229,             0.86713,             0.64242,            0.018091,           0.0051772,           0.0021002,           0.0086635,           0.0086635,           0.0086635
                  29,            0.025591,            0.012511,           0.0037896,             0.82149,             0.79589,             0.86761,             0.63522,            0.018598,           0.0055364,           0.0021263,            0.008614,            0.008614,            0.008614
                  30,            0.025287,            0.012266,           0.0031604,             0.80331,             0.82964,             0.87219,             0.65005,            0.018201,           0.0052084,           0.0019973,           0.0085645,           0.0085645,           0.0085645
                  31,             0.02579,            0.012407,           0.0034271,             0.76705,             0.84999,             0.85522,             0.64798,            0.018085,           0.0054327,           0.0021278,            0.008515,            0.008515,            0.008515
                  32,            0.025221,            0.012527,           0.0033825,             0.80428,             0.84308,             0.88824,             0.66635,            0.017263,           0.0050707,           0.0019869,           0.0084655,           0.0084655,           0.0084655
                  33,            0.025057,            0.012143,           0.0034695,             0.81892,             0.81769,             0.86643,             0.65678,            0.018364,           0.0051065,           0.0023769,            0.008416,            0.008416,            0.008416
                  34,            0.025314,            0.012313,           0.0032422,             0.78747,             0.86343,             0.86357,             0.66006,            0.017738,           0.0051132,           0.0021734,           0.0083665,           0.0083665,           0.0083665
                  35,            0.024138,            0.012179,           0.0033766,             0.81497,              0.8126,             0.86363,             0.65341,            0.017459,           0.0051063,            0.002542,            0.008317,            0.008317,            0.008317
                  36,            0.024732,            0.012102,           0.0036133,             0.84051,             0.81506,             0.88301,             0.66063,            0.018145,            0.005082,           0.0025459,           0.0082675,           0.0082675,           0.0082675
                  37,            0.024888,            0.012194,            0.003897,             0.79208,             0.84608,             0.87426,             0.66125,            0.017555,            0.005093,           0.0024467,            0.008218,            0.008218,            0.008218
                  38,            0.024637,            0.012196,           0.0033826,              0.8142,             0.80416,             0.86119,             0.66012,            0.017831,           0.0051297,           0.0025765,           0.0081685,           0.0081685,           0.0081685
                  39,            0.024326,            0.012108,             0.00327,             0.81858,              0.8155,             0.87042,             0.66357,            0.017621,           0.0050873,             0.00234,            0.008119,            0.008119,            0.008119
                  40,            0.023638,            0.011584,           0.0030329,             0.85138,             0.82007,             0.89088,             0.68082,            0.017152,           0.0048336,           0.0024335,           0.0080695,           0.0080695,           0.0080695
                  41,             0.02359,            0.011602,           0.0035237,             0.79519,             0.84571,             0.87577,             0.66965,            0.017389,           0.0051618,           0.0025857,             0.00802,             0.00802,             0.00802
                  42,            0.024421,             0.01171,           0.0031263,             0.85685,             0.82272,             0.89171,             0.68595,            0.016942,           0.0048995,           0.0022315,           0.0079705,           0.0079705,           0.0079705
                  43,            0.023778,            0.011685,           0.0026362,             0.80157,             0.82896,             0.87435,             0.66326,            0.017245,           0.0053178,           0.0023489,            0.007921,            0.007921,            0.007921
                  44,            0.023775,            0.011449,           0.0034994,              0.7933,             0.84508,             0.86503,             0.66778,            0.017023,           0.0051305,           0.0022465,           0.0078715,           0.0078715,           0.0078715
                  45,              0.0238,            0.011671,           0.0036685,             0.88706,             0.76486,             0.88431,             0.68315,            0.017215,           0.0050845,           0.0022379,            0.007822,            0.007822,            0.007822
                  46,            0.023097,            0.011495,           0.0025678,             0.85187,             0.80787,             0.88375,             0.67164,            0.017101,           0.0050924,           0.0028554,           0.0077725,           0.0077725,           0.0077725
                  47,            0.023454,             0.01161,           0.0030074,             0.79642,             0.84141,             0.87489,             0.67321,             0.01683,           0.0050551,           0.0021633,            0.007723,            0.007723,            0.007723
                  48,            0.023262,            0.011246,           0.0028609,             0.89914,             0.80911,             0.90299,             0.69484,            0.016954,           0.0048745,           0.0021404,           0.0076735,           0.0076735,           0.0076735
                  49,            0.023261,            0.011238,           0.0029003,             0.82397,             0.83772,             0.89767,              0.6923,            0.017179,           0.0050337,           0.0024052,            0.007624,            0.007624,            0.007624
                  50,             0.02318,            0.011326,            0.002711,             0.81962,             0.83619,             0.88177,             0.67639,             0.01739,           0.0048424,           0.0024123,           0.0075745,           0.0075745,           0.0075745
                  51,            0.022702,            0.011148,           0.0026042,             0.86281,             0.82221,             0.88733,             0.69256,             0.01659,            0.005011,           0.0023919,            0.007525,            0.007525,            0.007525
                  52,            0.022507,            0.010923,           0.0026312,             0.85414,             0.81789,             0.87985,              0.6872,            0.016714,           0.0047822,           0.0023552,           0.0074755,           0.0074755,           0.0074755
                  53,            0.022929,            0.010781,           0.0031068,             0.78748,             0.85937,              0.8753,             0.67468,            0.016522,           0.0050448,           0.0020468,            0.007426,            0.007426,            0.007426
                  54,             0.02248,            0.010896,           0.0027362,             0.77385,             0.84252,             0.87603,             0.66301,             0.01665,           0.0052616,           0.0024074,           0.0073765,           0.0073765,           0.0073765
                  55,            0.021896,            0.010895,           0.0030028,             0.84712,              0.8216,             0.89039,             0.69647,            0.016453,           0.0048987,           0.0026813,            0.007327,            0.007327,            0.007327
                  56,            0.022686,            0.011211,            0.002635,             0.84781,             0.82818,              0.8909,             0.69536,            0.016531,           0.0048522,           0.0020982,           0.0072775,           0.0072775,           0.0072775
                  57,            0.022798,            0.010907,            0.003088,             0.86796,             0.81167,             0.88629,               0.693,            0.016164,           0.0047132,           0.0026369,            0.007228,            0.007228,            0.007228
                  58,            0.022347,            0.010906,            0.003101,             0.85101,             0.85479,             0.90006,             0.69948,            0.016259,           0.0048142,           0.0022232,           0.0071785,           0.0071785,           0.0071785
                  59,            0.022048,            0.010975,           0.0026213,             0.82708,             0.84148,             0.88475,             0.70574,            0.015604,           0.0048725,           0.0021283,            0.007129,            0.007129,            0.007129
                  60,            0.022256,            0.010957,           0.0027228,             0.87389,             0.78369,             0.88532,             0.69871,            0.016258,           0.0048568,           0.0023682,           0.0070795,           0.0070795,           0.0070795
                  61,            0.021979,            0.010886,           0.0024215,             0.85763,             0.83719,             0.89729,              0.7029,            0.016119,           0.0047983,           0.0022017,             0.00703,             0.00703,             0.00703
                  62,            0.021857,            0.010741,            0.002462,             0.81145,             0.85588,             0.87868,             0.68465,             0.01611,           0.0050188,           0.0022305,           0.0069805,           0.0069805,           0.0069805
                  63,            0.022165,            0.010944,           0.0024186,             0.82369,              0.8585,             0.88673,             0.69803,            0.016707,           0.0049781,           0.0027193,            0.006931,            0.006931,            0.006931
                  64,            0.021508,            0.010872,           0.0023287,             0.83906,             0.85017,             0.89459,              0.7016,            0.015937,            0.004863,           0.0021563,           0.0068815,           0.0068815,           0.0068815
                  65,            0.021832,            0.010985,           0.0025408,             0.85155,             0.83975,             0.90618,             0.70691,             0.01585,           0.0048321,            0.002338,            0.006832,            0.006832,            0.006832
                  66,            0.021304,             0.01067,           0.0020809,             0.82682,             0.82924,             0.88603,             0.70233,            0.015778,            0.004891,            0.002143,           0.0067825,           0.0067825,           0.0067825
                  67,             0.02198,            0.010992,           0.0024058,             0.78823,             0.87481,             0.87995,             0.69945,            0.016116,           0.0050151,           0.0018909,            0.006733,            0.006733,            0.006733
                  68,            0.021395,            0.010559,           0.0021902,             0.84224,             0.86109,             0.89051,             0.70816,              0.0157,           0.0047576,           0.0025284,           0.0066835,           0.0066835,           0.0066835
                  69,            0.021793,            0.010678,           0.0026396,              0.8224,              0.8485,             0.88991,              0.7052,            0.015777,           0.0048957,           0.0023187,            0.006634,            0.006634,            0.006634
                  70,            0.021039,            0.010458,           0.0023465,             0.87833,              0.8299,             0.90634,               0.719,            0.015749,           0.0046428,           0.0018692,           0.0065845,           0.0065845,           0.0065845
                  71,            0.020996,            0.010525,           0.0021148,             0.81593,             0.82649,             0.88134,             0.70506,            0.015878,           0.0047739,             0.00251,            0.006535,            0.006535,            0.006535
                  72,            0.021174,            0.010568,           0.0025935,             0.86489,             0.79393,              0.8857,             0.70909,            0.015399,           0.0047835,           0.0027921,           0.0064855,           0.0064855,           0.0064855
                  73,            0.020956,            0.010657,            0.002004,             0.83394,             0.85377,             0.89409,              0.7134,            0.015494,           0.0047448,           0.0026156,            0.006436,            0.006436,            0.006436
